Time,Magnitude,Location,,
2021-10-13T21:27:20.356Z,3.3, USA,,
2021-10-13T21:41:33.990Z,2.59, USA,,
2021-10-13T22:00:34.131Z,4.4, Argentina,,
2021-10-13T22:05:03.278Z,4.4, Vanuatu,,
2021-10-13T22:25:57.630Z,4.5, Vanuatu,,
2021-10-14T00:04:19.897Z,4.3, China,,
2021-10-14T01:13:37.319Z,3.3, USA,,
2021-10-14T02:52:37.220Z,2.61, Puerto Rico,,
2021-10-14T03:12:56.650Z,4.45, Dominican Republic,,
2021-10-14T03:22:00.726Z,4.5, Peru,,
2021-10-14T04:38:47.030Z,3.29, Puerto Rico,,
2021-10-14T05:51:56.230Z,5.6, Vanuatu,,
2021-10-14T06:22:02.782Z,4.6,Fiji,,
2021-10-14T06:27:41.660Z,3.9, Chile,,
2021-10-14T07:14:34.550Z,4.5, Philippines,,
2021-10-14T08:05:08.410Z,2.88, Puerto Rico,,
2021-10-14T12:50:51.828Z,2.5, USA,,
2021-10-14T13:24:55.184Z,2.8, USA,,
2021-10-14T14:09:59.668Z,2.7, USA,,
2021-10-14T15:32:07.069Z,4.4, Indonesia,,
2021-10-14T17:08:46.270Z,2.52, Puerto Rico,,
2021-10-14T17:41:36.996Z,4.3, Chile,,
2021-10-14T18:31:28.584Z,3.5, USA,,
2021-10-14T20:16:47.737Z,3, USA,,
2021-10-14T20:49:18.685Z,4.7, Indonesia,,
2021-10-14T21:10:01.882Z,4.4, China,,
2021-10-14T21:19:05.832Z,4.9, Philippines,,
2021-10-14T21:30:53.559Z,4.1, USA,,
2021-10-14T22:05:10.846Z,3.3, New Mexico,,
2021-10-14T23:22:31.131Z,2.7, New Mexico,,
2021-10-14T23:50:09.773Z,3.3, USA,,
2021-10-15T00:04:32.500Z,3.6, USA,,
2021-10-15T01:29:05.430Z,3.01, Puerto Rico,,
2021-10-15T01:51:31.835Z,4.2, Peru,,
2021-10-15T01:51:37.880Z,3.97,USA,,
2021-10-15T02:41:22.060Z,2.64, Puerto Rico,,
2021-10-15T02:45:40.059Z,2.9, USA,,
2021-10-15T02:50:28.425Z,4, USA,,
2021-10-15T03:30:36.171Z,4.5, Indonesia,,
2021-10-15T03:53:27.825Z,4.5, Chile,,
2021-10-15T04:22:49.516Z,2.6, USA,,
2021-10-15T05:41:39.680Z,4.3, Chile,,
2021-10-15T08:18:32.961Z,3.7, USA,,
2021-10-15T09:35:38.895Z,3.6, USA,,
2021-10-15T10:03:13.790Z,3.6, Hawaii,,
2021-10-15T10:57:36.649Z,4.4, Chile,,
2021-10-15T11:38:30.064Z,4.4, Argentina,,
2021-10-15T12:36:04.947Z,3.7, USA,,
2021-10-15T16:54:48.080Z,4.9, Philippines,,
2021-10-15T17:14:13.264Z,4.4,Fiji,,
2021-10-15T17:55:21.523Z,4.5, Philippines,,
2021-10-15T18:46:40.366Z,2.9, USA,,
2021-10-15T19:54:07.740Z,3.37, USA,,
