time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-11T11:27:29.470Z,19.1563339233398,-155.476501464844,30.5499992370605,1.73000002,md,28,168,,0.140000001,hv,hv72749967,2021-10-11T11:30:45.280Z,"5 km S of Pāhala, Hawaii",earthquake,0.69,1.19000006,0.860000014,3,automatic,hv,hv
2021-10-11T11:24:15.330Z,19.2586669921875,-155.405502319336,34.1300010681152,2.1,ml,50,124,,0.140000001,hv,hv72749962,2021-10-11T11:29:45.210Z,"9 km NE of Pāhala, Hawaii",earthquake,0.49,0.720000029,3.14,8,automatic,hv,hv
2021-10-11T11:19:17.053Z,38.1951,-117.77,2.8,1.7,ml,19,75.4,0.037,0.1969,nn,nn00825405,2021-10-11T19:09:45.569Z,"36 km SE of Mina, Nevada",earthquake,,1.3,0.29,10,reviewed,nn,nn
2021-10-11T11:10:29.471Z,64.5915,-146.8911,14.6,0.9,ml,,,,1.02,ak,ak021d1v8jc3,2021-10-11T11:13:38.406Z,"7 km N of Salcha, Alaska",earthquake,,1,,,automatic,ak,ak
2021-10-11T11:06:06.832Z,64.7072,-149.2889,20,1.1,ml,,,,0.48,ak,ak021d1v7mq3,2021-10-11T11:11:58.100Z,"14 km NW of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-11T11:04:15.610Z,19.1868324279785,-155.478500366211,37.5,2.16,ml,47,80,,0.100000001,hv,hv72749937,2021-10-11T14:52:39.041Z,"1 km S of Pāhala, Hawaii",earthquake,0.47,0.660000026,0.53,3,automatic,hv,hv
2021-10-11T10:45:42.726Z,60.2752,-141.2919,0,1.5,ml,,,,1.14,ak,ak021d1uumtc,2021-10-11T18:22:40.924Z,"119 km NW of Yakutat, Alaska",ice quake,,1,,,automatic,ak,ak
2021-10-11T10:41:12.060Z,38.4921667,-119.546,2.92,1.57,md,13,77,0.03542,0.1,nc,nc73638245,2021-10-11T22:07:13.066Z,"30km NE of Dardanelle, CA",earthquake,0.36,0.54,0.214,12,reviewed,nc,nc
2021-10-11T10:19:23.300Z,37.5895,-118.9803333,1.19,0.86,md,13,128,0.03999,0.04,nc,nc73638240,2021-10-11T15:48:09.948Z,"5km S of Mammoth Lakes, CA",earthquake,0.69,0.71,0.243,13,reviewed,nc,nc
2021-10-11T10:13:31.970Z,33.2526667,-116.7785,7.09,0.6,ml,24,50,0.02346,0.12,ci,ci40067688,2021-10-11T21:01:30.126Z,"2km NW of Lake Henshaw, CA",earthquake,0.17,0.32,0.142,9,reviewed,ci,ci
2021-10-11T10:12:14.380Z,36.0009995,-120.5589981,2.44,0.92,md,11,89,0.02,0.12,nc,nc73638235,2021-10-11T11:11:11.022Z,"16km NW of Parkfield, CA",earthquake,0.49,0.89,0.15,3,automatic,nc,nc
2021-10-11T10:09:08.740Z,36.0060005,-120.5644989,3.97,0.81,md,12,103,0.02287,0.04,nc,nc73638230,2021-10-11T10:43:10.872Z,"17km NW of Parkfield, CA",earthquake,0.36,0.52,0.15,4,automatic,nc,nc
